Age,Gender,Education Level,Job Title,Years of Experience,Salary
35,Male,High School,Business Analyst,6,63077.77
52,Female,High School,Marketing Manager,5,69937.69
25,Male,Bachelor's,Sales Director,0,63147.72
29,Male,High School,Content Creator,4,59292.49
24,Female,Bachelor's,Sales Director,0,72655.69
59,Female,Master's,Data Analyst,7,109378.77
42,Male,Master's,Product Manager,17,120842.69
36,Male,PhD,VP of Operations,0,103728.53
44,Female,Master's,Marketing Analyst,3,102437.25
49,Female,PhD,Receptionist,24,199495.09
58,Female,PhD,Director,14,151579.7
32,Female,Bachelor's,Engineer,1,65180.24
23,Male,Bachelor's,Software Developer,1,61663.58
24,Male,High School,Director of Operations,5,58833.27
34,Male,Master's,Sales Associate,1,86076.77
57,Female,Master's,Sales Director,11,114295.1
26,Female,Bachelor's,Data Scientist,2,78351.54
24,Male,Bachelor's,Business Analyst,0,55863.58
39,Male,Master's,VP of Operations,2,92104.54
46,Male,Bachelor's,Sales Associate,9,98909.06
44,Male,Bachelor's,Marketing Manager,21,125047.78
36,Female,Master's,Data Analyst,7,107868.35
42,Female,Master's,UX Designer,10,114553.02
28,Female,Bachelor's,HR Manager,1,64203.09
27,Male,Bachelor's,IT Support,3,68560.13
39,Female,PhD,Research Scientist,2,110331.71
34,Female,Master's,HR Manager,8,106352.88
52,Male,Bachelor's,Product Manager,16,103660.28
63,Female,PhD,Director,19,188506.87
47,Male,High School,Product Manager,25,121972.95
52,Male,PhD,Data Scientist,8,143259.73
49,Male,Bachelor's,Software Developer,1,80182.04
34,Male,Master's,Data Analyst,11,110664.76
29,Female,Bachelor's,Senior Manager,1,70353.7
48,Male,High School,Senior Scientist,10,72373.0
44,Male,Bachelor's,Software Developer,15,100230.3
52,Female,Master's,Business Analyst,6,109717.67
46,Male,Master's,Content Creator,3,96490.13
46,Male,Master's,Content Creator,16,120715.27
47,Female,Master's,Marketing Analyst,9,109758.49
35,Female,Bachelor's,Sales Director,4,78070.27
58,Female,PhD,UX Designer,3,116817.44
31,Male,Bachelor's,Receptionist,1,62324.01
45,Female,PhD,Director,6,136191.02
50,Female,High School,Director,25,123400.13
49,Male,Bachelor's,Receptionist,24,140731.32
31,Female,Bachelor's,Director of Operations,9,80007.12
36,Male,High School,Data Scientist,17,91452.58
31,Female,Bachelor's,IT Support,4,72828.31
36,Male,Master's,HR Manager,5,104094.52
35,Female,Master's,Software Engineer,3,101712.28
61,Male,PhD,Operations Manager,12,149051.19
45,Male,High School,Marketing Analyst,19,112533.65
38,Male,Bachelor's,Operations Manager,15,109031.86
36,Female,Master's,Product Manager,3,95913.89
28,Male,Bachelor's,Web Developer,5,77458.47
25,Male,Bachelor's,Product Manager,2,71692.58
34,Female,Master's,Receptionist,7,109803.15
28,Male,Bachelor's,Financial Analyst,2,73797.09
25,Female,Bachelor's,Software Developer,0,61105.97
31,Female,Master's,Research Scientist,0,88424.88
39,Female,PhD,Senior Scientist,0,114311.2
